ER60001	ER60002	ER60017	ER60018	ER60167	ER62366	ER62506	ER64612	ER64810	ER65349	ER65459
1	4060	38	1	0	2	0	5	1	147006	17
1	4686	57	1	0	3	0	5	1	108150	12
1	8787	35	1	5	2	0	5	1	53000	12
1	385	51	2	0	3	0	5	1	53326	14
1	342	56	1	0	2	0	5	1	139000	12
1	890	58	1	0	3	0	5	1	236000	16
1	1366	39	1	0	2	0	5	1	99560	12
1	794	67	2	5	1	0	5	1	25840	16
1	7660	39	1	5	4	0	5	1	47015	12
1	7788	22	1	0	2	5	5	1	60702	12
1	796	68	1	5	5	0	1	1	22680	16
1	7841	41	2	0	4	2	5	1	15296	12
1	73	69	1	5	4	0	5	1	36262	16
1	7946	41	1	0	3	0	5	1	104000	14
1	6014	69	1	5	3	0	5	2	29844	12
1	2216	35	1	5	1	0	1	2	8400	9
1	100	67	1	5	3	0	5	2	27000	10
1	6362	57	2	0	4	0	5	2	12000	12
1	4347	40	2	0	2	0	1	2	42340	12
1	4858	38	1	0	4	0	5	2	40100	13
1	5341	25	1	0	4	0	1	2	6020	11
1	7884	41	1	0	1	1	5	2	30960	12
1	6955	37	2	5	2	0	5	2	0	13
1	7289	36	1	0	3	0	5	2	51759	11
1	4830	37	1	0	2	0	1	2	38500	12
1	62	87	1	5	4	0	1	2	56383	14
1	4012	23	1	0	1	0	5	2	22100	13
1	9063	66	1	0	3	1	5	2	95512	14
1	1795	49	2	0	1	0	5	2	43910	14
1	3064	72	1	0	1	0	5	1	99775	17
1	742	36	1	0	1	0	5	1	78017	14
1	5988	43	1	0	3	0	5	1	114500	14
1	908	58	1	5	3	0	1	1	68120	12
1	2484	68	1	5	3	0	5	1	76794	17
1	7735	39	1	0	1	0	5	1	141000	16
1	5249	48	1	0	2	0	5	1	95100	17
1	8759	55	1	0	2	0	5	1	90000	16
1	7066	75	1	5	3	0	5	1	33938	12
1	6303	35	2	0	3	0	5	1	36460	12
1	2500	60	1	0	2	0	5	1	174712	17
1	6158	58	1	0	3	0	5	1	147332	16
1	6945	29	2	0	2	0	1	1	16544	13
1	2796	27	1	0	2	0	1	1	31276	13
1	7483	56	1	0	1	1	5	1	271600	17
1	3282	30	1	0	3	0	1	1	100100	17
1	3571	48	1	0	2	0	5	1	162920	14
1	2788	42	1	0	2	0	5	1	154000	16
1	8500	42	1	5	4	0	5	1	149796	12
1	4535	27	1	5	3	0	1	1	22000	11
1	7869	55	1	0	3	0	1	1	40000	12
1	779	39	2	0	2	0	5	1	18433	16
1	5978	37	1	0	2	0	5	1	100800	14
1	3088	66	1	0	2	0	5	1	87815	12
1	206	62	1	0	5	0	5	1	54106	16
1	4200	41	1	0	2	0	5	1	135510	17
1	5809	82	1	5	3	0	5	1	51920	16
1	7170	54	1	0	1	0	5	1	158010	15
1	7871	25	2	0	2	0	5	1	26001	14
1	8570	44	1	1	4	0	1	1	18778	9
1	8499	36	1	5	3	0	1	1	18100	11
1	9028	30	1	5	4	0	5	1	26856	12
1	8447	53	1	0	2	2	1	2	29240	9
1	1	46	1	5	5	0	1	1	11702	11
