Zip	State	County	City	ZrentValue
34711	FL	Lake	Clermont	1496
91335	CA	Los Angeles	Los Angeles	2587
71913	AR	Garland	Hot Springs	1049
38401	TN	Maury	Columbia	1198
97402	OR	Lane	Eugene	1284
95123	CA	Santa Clara	San Jose	3253
60616	IL	Cook	Chicago	1698
32174	FL	Volusia	Ormond Beach	1485
75206	TX	Dallas	Dallas	2028
94544	CA	Alameda	Hayward	2655
30041	GA	Forsyth	Cumming	1841
2360	MA	Plymouth	Plymouth	1973
20001	DC	District of Columbia	Washington	2915
43228	OH	Franklin	Columbus	1021
93550	CA	Los Angeles	Palmdale	1589
89052	NV	Clark	Henderson	1751
30318	GA	Fulton	Atlanta	1304
11208	NY	Kings	New York	2230
21215	MD	Baltimore City	Baltimore	1260
75150	TX	Dallas	Mesquite	1377
72401	AR	Craighead	Jonesboro	1011
94509	CA	Contra Costa	Antioch	2030
63123	MO	Saint Louis	Affton	1152
95747	CA	Placer	Roseville	2173
77057	TX	Harris	Houston	1688
93309	CA	Kern	Bakersfield	1214
89123	NV	Clark	Las Vegas	1339
20147	VA	Loudoun	Ashburn	2417
40601	KY	Franklin	Frankfort	989
19446	PA	Montgomery	Lansdale	1879
8831	NJ	Middlesex	Monroe Township	2236
43068	OH	Franklin	Reynoldsburg	1279
34953	FL	Saint Lucie	Port Saint Lucie	1444
7087	NJ	Hudson	Union City	2089
78501	TX	Hidalgo	McAllen	1053
35242	AL	Jefferson	Hoover	2015
95687	CA	Solano	Vacaville	1951
45601	OH	Ross	Chillicothe	1005
94122	CA	San Francisco	San Francisco	4138
75056	TX	Denton	The Colony	1743
29072	SC	Lexington	Lexington	1395
91710	CA	San Bernardino	Chino	2155
27713	NC	Durham	Durham	1441
23223	VA	Richmond City	Richmond	1115
60453	IL	Cook	Oak Lawn	1570
7302	NJ	Hudson	Jersey City	2678
60641	IL	Cook	Chicago	1789
93535	CA	Los Angeles	Lancaster	1583
60622	IL	Cook	Chicago	2076
32225	FL	Duval	Jacksonville	1421
93536	CA	Los Angeles	Lancaster	1968
93257	CA	Tulare	Porterville	1137
23451	VA	Virginia Beach City	Virginia Beach	1684
93727	CA	Fresno	Fresno	1307
28078	NC	Mecklenburg	Huntersville	1626
14221	NY	Erie	Amherst	1807
19120	PA	Philadelphia	Philadelphia	1051
48823	MI	Ingham	East Lansing	1565
93306	CA	Kern	Bakersfield	1226
32828	FL	Orange	Orlando	1681
60660	IL	Cook	Chicago	1542
76116	TX	Tarrant	Fort Worth	1386
2301	MA	Plymouth	Brockton	1812
80525	CO	Larimer	Fort Collins	1762
33321	FL	Broward	Tamarac	1511
55901	MN	Olmsted	Rochester	1365
19720	DE	New Castle	New Castle	1274
30135	GA	Douglas	Douglasville	1212
22204	VA	Arlington	Arlington	2382
11204	NY	Kings	New York	2245
80015	CO	Arapahoe	Centennial	2083
95758	CA	Sacramento	Elk Grove	1736
19020	PA	Bucks	Bensalem	1670
30127	GA	Cobb	Powder Springs	1346
60056	IL	Cook	Mount Prospect	1984
21122	MD	Anne Arundel	Pasadena	1898
27707	NC	Durham	Durham	1332
10032	NY	New York	New York	2773
21222	MD	Baltimore	Dundalk	1443
20874	MD	Montgomery	Germantown	1796
11219	NY	Kings	New York	2303
33319	FL	Broward	Lauderhill	1340
85282	AZ	Maricopa	Tempe	1404
60085	IL	Lake	Waukegan	1271
95076	CA	Santa Cruz	Watsonville	2623
77840	TX	Brazos	College Station	1454
33467	FL	Palm Beach	Greenacres	2071
89031	NV	Clark	North Las Vegas	1224
94538	CA	Alameda	Fremont	3001
42101	KY	Warren	Bowling Green	996
93307	CA	Kern	Bakersfield	1140
31907	GA	Muscogee	Columbus	799
60615	IL	Cook	Chicago	1471
29730	SC	York	Rock Hill	1087
