Zip	NoReturns	SingleReturns	UnempComp	StudentLoanDeductions	TaxableIncome
55408	2650	2130	489	1208	122703
55409	970	630	251	377	41604
55410	1330	820	433	341	56696
55411	980	400	261	215	38165
55412	1400	720	287	355	58377
55413	1130	790	280	441	50757
55414	830	550	196	310	36987
55415	190	160	109	53	8629
55416	3100	2330	645	1198	139285
55417	2220	1310	476	580	95086
55418	2690	1530	619	760	115487
55419	1790	1050	392	453	75555
55420	1930	910	424	335	78556
55421	2320	1110	599	486	95754
55422	2390	1260	756	578	100158
55423	3380	1720	711	758	140363
55424	330	180	0	60	12900
55425	680	350	319	125	28271
55426	2480	1580	533	741	108123
55427	1950	980	561	351	81637
55428	2170	910	587	414	86931
55429	1810	730	538	298	71534
55430	1570	620	336	274	61768
55431	1650	810	441	329	68279
55432	2530	1130	715	450	104223
55433	2940	1240	950	520	120182
55434	2620	1080	917	489	107268
55435	1160	710	209	179	50593
55436	790	470	288	131	33339
55437	1530	760	357	294	62428
55438	1320	770	324	270	55999
55439	450	250	179	60	17864
55441	1350	690	269	333	56299
55442	960	540	321	241	40744
55443	2270	900	624	390	89473
55444	1340	520	415	292	53509
55445	830	330	235	140	32539
55446	1230	700	314	264	51444
55447	1420	750	252	291	59828
55448	2470	1010	854	450	99776
55449	1830	810	443	387	74515
55454	160	90	0	45	6700
55455	0	0	0	0	0
55603	30	0	0	0	1360
55604	340	100	268	40	13443
55605	40	0	0	0	1673
55606	20	0	0	0	773
55612	50	20	0	0	1921
55613	0	0	0	0	0
55614	190	50	93	30	7526
55615	20	0	0	0	914
55616	550	160	287	90	22371
55702	50	0	150	0	1804
55703	60	40	0	0	2407
55704	90	30	178	0	3170
55705	230	90	189	0	9546
55706	100	30	160	0	4003
55707	270	80	160	36	10922
55709	320	90	263	37	12528
55710	100	30	177	0	4276
55711	40	0	0	0	1703
55712	30	0	0	0	1283
55717	20	0	0	0	779
55718	240	80	148	39	9755
55719	350	120	197	51	14229
55720	1220	420	492	214	48271
55721	240	70	130	30	9376
55723	180	60	179	0	7064
55724	60	30	123	0	2227
55726	70	30	101	32	2811
55731	430	140	215	55	17043
55732	110	20	0	0	4356
55733	380	110	195	70	15091
55734	440	180	213	72	18662
55735	130	50	172	0	5073
55736	110	50	126	0	3963
55738	40	30	0	0	1592
55741	270	90	201	34	11155
55742	30	0	0	0	1118
55744	1400	430	725	203	56036
55746	1130	420	452	144	46925
55748	100	40	291	21	3868
55749	40	0	0	0	1681
55750	150	40	183	0	6258
55751	120	40	0	0	4812
55752	40	0	0	0	1711
55756	40	0	0	0	1431
55757	60	20	0	0	2372
55760	160	40	0	40	6430
55763	40	30	0	0	1540
55765	50	20	148	0	2027
55767	250	110	245	47	9728
55768	210	80	0	40	8932
55769	140	40	193	0	5788
55771	100	60	197	16	3969
55775	110	30	134	0	4123
55779	330	110	261	33	13503
55780	0	0	0	0	0
55781	60	20	0	0	2404
55783	170	50	121	0	6989
55785	30	0	0	0	1628
55787	40	0	0	0	1731
55790	150	70	0	39	5961
55792	650	270	337	88	27605
55793	60	20	0	0	2221
55795	100	40	128	30	3939
55797	120	50	166	23	4867
55798	50	0	0	0	2094
55802	130	90	0	35	5310
55803	1390	500	559	255	56889
55804	1190	440	339	265	48338
55805	450	210	116	195	18804
55806	480	190	256	133	19318
55807	770	260	349	210	31716
55808	420	130	210	78	16684
55810	760	270	514	146	31242
55811	1930	770	608	435	79741
55812	370	160	89	130	15295
55901	4230	1950	788	1243	176489
55902	1470	740	251	419	61634
55904	1870	720	626	380	76399
55906	1200	490	340	269	49287
55909	100	40	0	0	4113
55910	120	50	0	0	4584
55912	1850	550	483	282	74558
55917	310	80	163	35	12631
55918	80	30	0	40	3146
55919	110	50	144	23	4212
55920	520	180	178	92	21226
55921	370	100	198	39	14768
55922	50	0	0	0	1870
55923	300	80	157	42	11784
55924	100	50	0	27	4202
55925	100	50	143	0	3964
55926	60	20	0	0	2277
55927	310	80	143	40	11993
55929	100	40	0	0	3978
55931	40	0	0	0	1481
55932	140	50	0	46	5779
55933	0	0	0	0	0
55934	250	70	107	34	9939
55935	60	20	0	0	2520
55936	140	70	0	19	5581
55939	130	50	136	0	5106
55940	190	50	164	25	7589
55941	80	30	77	16	3238
55943	280	80	104	41	11116
55944	550	180	212	121	22036
55945	120	40	104	0	4640
55946	290	90	108	32	11550
55947	590	170	159	90	24255
55949	130	30	110	25	5206
55951	120	40	116	0	4422
55952	170	60	157	0	6405
55953	80	0	0	0	2979
55954	110	50	0	0	4142
55955	160	50	0	18	6060
55956	160	50	151	26	6214
55957	60	30	0	24	2449
55959	160	60	150	49	6568
55960	180	70	0	29	7003
55961	40	0	0	0	1417
55962	40	0	0	0	1452
55963	340	100	165	74	13426
55964	360	90	123	73	13741
